Price,Date,Close,High,Low,Open,Volume
Ticker,,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
0,1996-01-01,5.5677995681762695,5.577270862853571,5.510971800112459,5.547504194879929,104121369
1,1996-01-02,5.524500846862793,5.5813293278734735,5.483909745915245,5.554268593908441,168743308
2,1996-01-03,5.566445827484131,5.870881795858782,5.554268605599325,5.61515507644032,209323879
3,1996-01-04,5.515029430389404,5.531266087255176,5.440611871525818,5.513676646713309,216900264
4,1996-01-05,5.477144718170166,5.493381376396764,5.429788250113823,5.493381376396764,166708467
5,1996-01-08,5.2579498291015625,5.470378786395566,5.2038280020411465,5.4663200740309525,186974245
6,1996-01-09,5.10640811920166,5.195709182730087,4.931865065683929,5.102349407079466,388766555
7,1996-01-10,4.975162506103516,5.126703914597416,4.952161207935223,5.006283036278199,276606655
8,1996-01-11,5.130763530731201,5.155118695974469,4.918334575879599,4.925099939715723,409645726
9,1996-01-12,5.0766425132751465,5.2078882072585975,5.0428160501210995,5.168649524456582,374687924
10,1996-01-15,5.023873329162598,5.087466456572696,4.995459447825169,5.061758504279169,199981539
11,1996-01-16,5.033344268798828,5.060405003001832,4.99004651580687,5.006283173178854,217247573
12,1996-01-17,4.833092212677002,5.013048215946346,4.791148330344127,5.00628285212098,299629901
13,1996-01-18,4.699141502380371,4.787089809886925,4.649079097828421,4.70996666565376,377502810
14,1996-01-19,4.616604804992676,4.69237587212254,4.585484997049833,4.634194607359207,324535340
15,1996-01-22,4.695082187652588,4.7559693862626045,4.627429262863241,4.631489059987836,338613971
16,1996-01-23,4.496184349060059,4.731614636350427,4.248576115916549,4.711318903234861,354919302
17,1996-01-24,4.341935634613037,4.484006118828815,4.27563658129611,4.4569450225852885,351185727
18,1996-01-25,4.159274101257324,4.35140660538461,4.133566152085888,4.3324640201268,360855771
19,1996-01-26,4.159274101257324,4.159274101257324,4.159274101257324,4.159274101257324,0
20,1996-01-29,4.486712455749512,4.525951503802912,4.114624577448167,4.140331810099823,652902286
21,1996-01-30,4.889921188354492,5.114527386919354,4.559777255021304,4.627429093077437,1061936020
22,1996-01-31,4.783030033111572,5.026578804598043,4.661255285951374,4.84391722598319,731560842
23,1996-02-01,4.975162506103516,5.006283036278199,4.7221428049978975,4.735672810312441,640422958
24,1996-02-02,5.515029430389404,5.574563838897232,5.1077613093199075,5.1077613093199075,818725675
25,1996-02-05,5.973714351654053,6.09413560908822,5.64357039126591,5.818113484997194,1222482548
26,1996-02-06,5.473085880279541,6.224029146415839,5.347252397760559,6.117137891771132,1242315590
27,1996-02-07,5.574564456939697,5.628686291075704,5.1158803856502155,5.170002219786223,895441820
28,1996-02-08,6.061661243438721,6.1604339602542275,5.574563384274687,5.6313911365449725,821653997
29,1996-02-09,6.413455009460449,6.54875940932832,6.0643681253933215,6.278149886758606,994440377
30,1996-02-12,6.011599063873291,6.359332801989084,5.926356699417974,6.251089137763292,971599188
31,1996-02-13,6.372862815856934,6.606940282706567,5.902001592076404,5.9534171280339745,1019034918
32,1996-02-14,6.376922130584717,6.628589061070215,6.3282132415237315,6.535229272785726,622459505
33,1996-02-15,6.275444030761719,6.426985443175495,6.169905938708402,6.2240281298683,699136437
34,1996-02-16,6.164494037628174,6.230793819460877,6.117137566914828,6.16990661875771,495646793
35,1996-02-19,6.226733207702637,6.364744603600274,6.1902011833133725,6.278149104553305,518231701
36,1996-02-20,5.897943019866943,6.249736205548584,5.81811323346117,6.224028614517062,639131752
37,1996-02-21,5.897943019866943,5.897943019866943,5.897943019866943,5.897943019866943,0
38,1996-02-22,6.2091450691223145,6.251089682408276,5.981832920742513,6.034601973677564,613558303
39,1996-02-23,6.142844200134277,6.210495663063124,6.040011692327556,6.196965659610883,546094871
40,1996-02-26,6.156375408172607,6.339036996022696,6.1171370893826715,6.210496878238882,544960514
41,1996-02-27,6.08601713180542,6.224028547822376,5.98183253930614,6.191554508111811,542491536
42,1996-02-28,6.115784645080566,6.272737938227301,6.102253914596382,6.203733308976694,427826248
43,1996-02-29,5.732872009277344,6.083311352581098,5.696339615075367,6.061662834261095,697898447
44,1996-03-01,5.765345096588135,5.850587477451197,5.643571041248878,5.777523044247642,723172202
45,1996-03-04,5.705810546875,5.81811329018319,5.639510766540922,5.79105219223224,673407539
46,1996-03-05,5.705810546875,5.705810546875,5.705810546875,5.705810546875,0
47,1996-03-06,5.9087677001953125,5.948006383798,5.753167195329454,5.804583102325793,543855566
48,1996-03-07,5.961536407470703,6.095488756505516,5.933122524723662,5.991304158349349,854410306
49,1996-03-08,5.930416107177734,5.953417405438552,5.8113480120608365,5.885765210091937,646827174
50,1996-03-11,5.949358940124512,5.9669483815352695,5.822172330518583,5.845173629734977,631091821
51,1996-03-12,6.255148410797119,6.440516307761135,5.912827222788677,5.939888321977553,803011329
52,1996-03-13,6.148256301879883,6.176671626670524,6.014304692764993,6.08872297621831,577715422
53,1996-03-14,6.1469035148620605,6.207790704869803,6.102252619722826,6.1428448025618785,597611484
54,1996-03-15,5.945300579071045,6.133374767841008,5.899296529453167,6.1144321789986025,622444100
55,1996-03-18,5.674690246582031,5.8992964652709965,5.653041728747818,5.884413312557046,667319823
56,1996-03-19,5.325603008270264,5.758579091792428,5.2092408394258936,5.655746928609793,1037292464
57,1996-03-20,5.325603008270264,5.325603008270264,5.325603008270264,5.325603008270264,0
58,1996-03-21,5.707162380218506,5.766696062961641,5.547502832440677,5.547502832440677,670459612
59,1996-03-22,5.475792407989502,5.60027274232592,5.37160708500345,5.60027274232592,674824785
60,1996-03-25,5.443317413330078,5.57726937117886,5.364840424766252,5.5461495661696345,457166882
61,1996-03-26,5.408138751983643,5.520442208983453,5.236301607172254,5.412198187408566,532380354
62,1996-03-27,5.6002726554870605,5.68145559096585,5.575917847126827,5.601625800789578,377229724
63,1996-03-28,5.673336982727051,5.701750863277712,5.596212766565004,5.615155353598778,359409115
64,1996-03-29,5.597565650939941,5.703103749549371,5.579976208783031,5.66657135860126,325958187
65,1996-04-01,5.65033483505249,5.6692781457126395,5.574564483747898,5.621920953313269,247509698
66,1996-04-02,5.665218353271484,5.736929987146237,5.608390593371018,5.66251242435969,367425238
67,1996-04-03,5.712574481964111,5.855998464064236,5.699044476788448,5.792404620686355,297032084
68,1996-04-04,5.644923210144043,5.663865797540122,5.58538879610109,5.655747287643951,241840713
69,1996-04-05,5.644923210144043,5.644923210144043,5.644923210144043,5.644923210144043,0
70,1996-04-08,5.739635944366455,5.769403331044867,5.68010225526057,5.716634283543341,228109392
71,1996-04-09,5.746400833129883,5.8776468684338985,5.716633810332501,5.811347820377791,320184170
72,1996-04-10,5.7436957359313965,5.843821256456993,5.720693712265407,5.818113303698123,285103129
73,1996-04-11,5.68416166305542,5.723400709312808,5.6516890663147565,5.6895742444015625,216484333
74,1996-04-12,5.8397626876831055,5.885766013316691,5.658453507223385,5.684161460616866,341108156
75,1996-04-15,5.989951133728027,6.109019241121064,5.94124079630906,5.9534180192468025,476612002
76,1996-04-16,6.003480434417725,6.081957066621253,5.953417319060526,6.007539869669871,388937409
77,1996-04-17,6.259206771850586,6.325505820998077,6.111724077661041,6.169905701988411,410008440
78,1996-04-18,6.602882385253906,6.636708124108412,6.403983773579826,6.4540465320917555,686239778
79,1996-04-19,6.644826412200928,6.778778393729074,6.590704216928446,6.657004719325479,657928468
